hero_id,ashe_comp_stats.threat_ashe,ashe_comp_stats.dynamite_value,ashe_comp_stats.coach_gun_value,ashe_comp_stats.viper_value,ashe_comp_stats.bob_denial,ashe_comp_stats.highground_value,ashe_comp_stats.matchup_rating,ashe_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.dynamite_check,key_enemy_skills.bob_check,diagnosis_snippets.positioning,diagnosis_snippets.target_priority,diagnosis_snippets.dynamite_policy,diagnosis_snippets.bob_condition,ashe_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.cross_target_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,cross_target_recalibration.diff_points,source_status,source_note,cross_target_recalibration,torbjorn_reassessment_note
Vendetta,10,7,10,6,5,5,2,8,"[""close_or_dive_pressure""]","[""ウォーディング・スタンス"", ""ソアリング・スライス"", ""サンダリング・ブレード""]","[""ソアリング・スライス"", ""ワールウィンド""]","[""ウォーディング・スタンス"", ""ソアリング・スライス""]","[""ウォーディング・スタンス"", ""サンダリング・ブレード""]",ヴェンデッタ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ソアリング・スライス、ワールウィンドの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはヴェンデッタ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,ウォーディング・スタンス、サンダリング・ブレードを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Echo,10,5,8,8,5,8,5,8,"[""aerial_control""]","[""フライト"", ""コピー""]","[""フライト"", ""スティッキー・ボム"", ""フォーカス・ビーム""]","[""フライト""]","[""コピー""]",エコー相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「フライト後、またはフォーカス・ビームで低空に入った時」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはエコー本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コピーを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Pharah,10,5,8,8,5,8,5,8,"[""aerial_control""]","[""ジャンプ・ジェット"", ""ジェット・ダッシュ"", ""バレッジ""]","[""ジャンプ・ジェット"", ""ジェット・ダッシュ"", ""コンカッシブ・ブラスト""]","[""ジャンプ・ジェット"", ""ジェット・ダッシュ""]","[""バレッジ""]",ファラ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ジャンプ・ジェット後、ホバーが落ちる瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはファラ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,バレッジを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Symmetra,4,9,6,6,6,5,7,4,"[""dynamite_value"", ""cross_target_recalibrated_v41""]","[""フォトン・バリア"", ""テレポーター""]","[""テレポーター"", ""セントリー・タレット""]","[""フォトン・バリア"", ""テレポーター""]","[""フォトン・バリア""]",シンメトラ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「テレポーター、セントリー・タレットの後」。長く覗かず、撃った後は遮蔽へ戻る。,シンメトラには長い射線で有利を取りやすい。テレポーターで距離を詰められる前に設置物を壊す。,ダイナマイトはシンメトラ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,フォトン・バリアを確認してからB.O.Bを出す。,,,シンメトラには長い射線で有利を取りやすい。テレポーターで距離を詰められる前に設置物を壊す。,,v41,4,7,長い射線有利,,,,,
Junkrat,9,6,7,6,6,5,4,7,"[""standard_midrange_control""]","[""コンカッション・マイン"", ""RIPタイヤ""]","[""コンカッション・マイン"", ""スティール・トラップ""]","[""コンカッション・マイン""]","[""RIPタイヤ""]",ジャンクラット相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「コンカッション・マイン、スティール・トラップの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはジャンクラット本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,RIPタイヤを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Torbjörn,7,9,6,6,6,5,6,7,"[""dynamite_value""]","[""オーバーロード"", ""モルテン・コア""]","[""タレット""]","[""オーバーロード""]","[""オーバーロード"", ""モルテン・コア""]",トールビョーン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「タレット設置後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはトールビョーン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,オーバーロード、モルテン・コアを確認してからB.O.Bを出す。,,,,,,,,,,,,v47_torbjorn_db_applied,トールビョーンDB v1統合時に、タレット設置・オーバーロード・モルテン・コアの表記と確認タイミングを再点検。
Bastion,8,9,6,6,5,5,5,7,"[""dynamite_value""]","[""砲台モード""]","[""強襲モード"", ""A-36タクティカル・グレネード""]","[""砲台モード""]","[""砲台モード""]",バスティオン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「強襲モード、A-36タクティカル・グレネードの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはバスティオン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,砲台モードを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Mei,7,10,6,6,10,5,6,6,"[""dynamite_value"", ""bob_must_check""]","[""クリオフリーズ"", ""アイス・ウォール"", ""ブリザード""]","[""アイス・ウォール""]","[""アイス・ウォール"", ""クリオフリーズ""]","[""クリオフリーズ"", ""アイス・ウォール"", ""ブリザード""]",メイ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「アイス・ウォールの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはメイ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,クリオフリーズ、アイス・ウォール、ブリザードを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Illari,6,8,6,8,6,4,7,7,"[""support_or_save_check""]","[""ヒーリング・パイロン"", ""アウトバースト"", ""キャプティブ・サン""]","[""アウトバースト""]","[""ヒーリング・パイロン"", ""アウトバースト""]","[""ヒーリング・パイロン"", ""キャプティブ・サン""]",イラリー相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「アウトバーストの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはイラリー本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,ヒーリング・パイロン、キャプティブ・サンを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Jetpack Cat,8,7,7,10,6,7,8,8,"[""aerial_control"", ""support_or_save_check""]","["""", ""ゴロゴロ"", ""ワイルド・フライト""]","[""ワイルド・フライト"", ""キャットナッパー""]","["""", ""ゴロゴロ"", ""ワイルド・フライト""]","["""", ""ゴロゴロ"", ""キャットナッパー""]",ジェットパック・キャット相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ワイルド・フライト、キャットナッパーの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはジェットパック・キャット本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,ゴロゴロ、キャットナッパーを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Juno,8,10,7,8,6,4,7,8,"[""support_or_save_check"", ""dynamite_value""]","[""ハイパーリング"", ""オービタル・レイ"", ""グライド・ブースト""]","[""グライド・ブースト"", ""パルサー・トーピード"", ""ハイパーリング""]","[""ハイパーリング"", ""オービタル・レイ"", ""グライド・ブースト""]","[""ハイパーリング"", ""オービタル・レイ""]",ジュノ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「グライド・ブースト、パルサー・トーピードの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはジュノ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,ハイパーリング、オービタル・レイを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Baptiste,7,10,7,8,9,4,7,7,"[""support_or_save_check"", ""dynamite_value"", ""bob_must_check""]","[""イモータリティ・フィールド"", ""リジェネ・バースト"", """"]","[""""]","[""イモータリティ・フィールド"", ""リジェネ・バースト"", """"]","[""イモータリティ・フィールド""]",バティスト相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「イモータリティ・フィールド後、リジェネ・バースト後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはバティスト本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,イモータリティ・フィールド、リジェネ・バースト、アンプリフィケーション・マトリックスを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Mercy,7,7,7,10,6,5,8,7,"[""aerial_control"", ""support_or_save_check""]","[""蘇生"", ""ガーディアン・エンジェル"", ""ヴァルキリー""]","[""ガーディアン・エンジェル""]","[""蘇生"", ""ガーディアン・エンジェル""]","[""蘇生"", ""ガーディアン・エンジェル"", ""ヴァルキリー""]",マーシー相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ガーディアン・エンジェル後、またはリザレクト開始時」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはマーシー本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,蘇生、ガーディアン・エンジェル、ヴァルキリーを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Lifeweaver,6,9,6,8,9,4,8,6,"[""support_or_save_check"", ""bob_must_check""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""命の樹""]","[""ペタル・プラットフォーム"", ""若返りの風""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""命の樹""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""命の樹""]",ライフウィーバー相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ペタル・プラットフォーム、若返りの風の後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはライフウィーバー本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,ライフグリップ、ペタル・プラットフォーム、命の樹を確認してからB.O.Bを出す。,,,,,,,,,,,,,
Kiriko,8,9,8,8,10,4,7,7,"[""support_or_save_check"", ""bob_must_check""]","[""鈴のご加護"", ""神出鬼没"", ""狐走り""]","[""神出鬼没""]","[""鈴のご加護"", ""神出鬼没""]","[""鈴のご加護"", ""神出鬼没"", ""狐走り""]",キリコ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「鈴のご加護後、神出鬼没で逃げた後の再ピーク」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはキリコ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,鈴のご加護、神出鬼没、狐走りを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Brigitte,5,10,6,8,6,4,8,7,"[""support_or_save_check"", ""dynamite_value""]","[""バリア・シールド"", ""ラリー"", ""リペア・パック""]","[""シールド・バッシュ"", ""ウィップ・ショット""]","[""リペア・パック"", ""ラリー"", ""バリア・シールド""]","[""バリア・シールド"", ""ラリー"", ""リペア・パック""]",ブリギッテ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「シールド・バッシュ、ウィップ・ショットの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはブリギッテ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,バリア・シールド、ラリー、リペア・パックを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Moira,6,10,7,8,5,4,8,7,"[""support_or_save_check"", ""dynamite_value""]","[""フェード"", ""コアレッセンス""]","[""フェード"", ""バイオティック・オーブ""]","[""フェード""]","[""フェード"", ""コアレッセンス""]",モイラ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「フェード、バイオティック・オーブの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはモイラ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,フェード、コアレッセンスを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Lúcio,7,10,7,8,9,4,7,7,"[""support_or_save_check"", ""dynamite_value"", ""bob_must_check""]","[""サウンド・バリア"", ""ウォール・ライド""]","[""ウォール・ライド"", ""サウンドウェーブ"", ""アンプ・イット・アップ""]","[""サウンド・バリア"", ""ウォール・ライド""]","[""サウンド・バリア""]",ルシオ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ウォール・ライド、サウンドウェーブの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはルシオ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,サウンド・バリアを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Ana,5,8,5,8,10,4,8,6,"[""support_or_save_check"", ""bob_must_check""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]","[""スリープ・ダーツ"", ""バイオティック・グレネード""]","[""スリープ・ダーツ""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]",アナ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「スリープ・ダーツ後、またはバイオティック・グレネードを使った後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはアナ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,スリープ・ダーツ、ナノ・ブーストを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Wuyang,6,8,6,8,9,4,7,6,"[""support_or_save_check"", ""bob_must_check""]","[""養神泉"", ""驚濤破"", ""飛流歩""]","[""飛流歩"", ""玄武之杖"", ""驚濤破""]","[""養神泉"", ""驚濤破"", ""飛流歩""]","[""養神泉"", ""驚濤破"", ""守衛波浪""]",ウーヤン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「飛流歩、玄武之杖の後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはウーヤン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,養神泉、驚濤破、守衛波浪を確認してからB.O.Bを出す。,,,,,,,,,,,,,
Zenyatta,5,8,6,8,9,4,8,6,"[""support_or_save_check"", ""bob_must_check""]","[""心頭滅却"", ""不和のオーブ""]","[""不和のオーブ""]","[""心頭滅却""]","[""心頭滅却"", ""不和のオーブ""]",ゼニヤッタ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「不和のオーブが味方タンクに付いた直後、または心頭滅却を切った後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはゼニヤッタ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,心頭滅却、不和のオーブを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Mizuki,6,8,6,8,6,4,7,7,"[""support_or_save_check""]","[""霊域結界"", ""快気の笠"", ""形代""]","[""形代"", ""呪縛""]","[""霊域結界"", ""快気の笠"", ""形代""]","[""霊域結界"", ""快気の笠"", ""癒しの波動""]",ミズキ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「形代、呪縛の後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはミズキ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,霊域結界、快気の笠、癒しの波動を確認してからB.O.Bを出す。,,,,,,,,,,,,,
