hero_id,symmetra_comp_stats.threat_symmetra,symmetra_comp_stats.beam_charge_value,symmetra_comp_stats.sentry_turret_value,symmetra_comp_stats.teleporter_value,symmetra_comp_stats.photon_barrier_denial,symmetra_comp_stats.close_space_value,symmetra_comp_stats.matchup_rating,symmetra_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.photon_barrier_check,key_enemy_skills.beam_advantage,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.sombra_hack_note,diagnosis_snippets.cross_target_note,diagnosis_snippets.beam_policy,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,symmetra_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.diff_points,cross_target_recalibration,torbjorn_reassessment_note
Vendetta,8,5,8,7,5,5,4,7,"[""mobility_threat""]","[""ウォーディング・スタンス"", ""ソアリング・スライス"", ""サンダリング・ブレード""]","[""ワールウィンド"", ""ソアリング・スライス"", ""ウォーディング・スタンス""]","[""ウォーディング・スタンス"", ""サンダリング・ブレード"", ""ソアリング・スライス""]",,ヴェンデッタは正面より横や後ろから来る。セントリー・タレットを味方後衛の近くと自分の退路に置き、接近が見えた瞬間だけビームかオーブで迎撃する。,ワールウィンド、味方後衛へ仕掛けた瞬間,フォトン・バリアはヴェンデッタの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。ウォーディング・スタンス、サンダリング・ブレード、ソアリング・スライスを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Ana,6,5,5,6,7,5,5,5,"[""long_sightline_threat""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]","[""スリープ・ダーツ"", ""バイオティック・グレネード""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]",,アナの長い射線には正面から付き合わない。テレポーターで危険な通路を短縮し、遮蔽からチャージ・オーブで圧をかける。,長い射線を構えた瞬間、または遮蔽から顔を出した瞬間,フォトン・バリアはアナの長い射線を切り、味方が安全に前へ出るために使う。スリープ・ダーツ、ナノ・ブーストを意識して、ただの自衛ではなく射線分断に使う。,,,,,,,,,,,,,
Illari,6,5,6,7,8,5,5,6,"[""long_sightline_threat"", ""save_sustain""]","[""アウトバースト"", ""キャプティブ・サン""]","[""アウトバースト""]","[""キャプティブ・サン"", ""アウトバースト""]",,イラリーの長い射線には正面から付き合わない。テレポーターで危険な通路を短縮し、遮蔽からチャージ・オーブで圧をかける。,長い射線を構えた瞬間、または遮蔽から顔を出した瞬間,フォトン・バリアはイラリーの長い射線を切り、味方が安全に前へ出るために使う。キャプティブ・サン、アウトバーストを意識して、ただの自衛ではなく射線分断に使う。,,,,,,,,,,,,,
Wuyang,5,5,6,6,6,5,5,6,"[""save_sustain""]","[""飛流歩"", ""守衛波浪""]","[""玄武之杖"", ""驚濤破"", ""飛流歩""]","[""守衛波浪"", ""飛流歩""]",,ウーヤンは一度目のキルを防ぐ。ダイレクトに倒し切るより、セントリー・タレットやオーブで防御・救助・移動スキルを使わせてから次の対象へ切り替える。,防御・救助・移動スキル使用後、または回復対象が遮蔽から離れた瞬間,フォトン・バリアはウーヤンの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。守衛波浪、飛流歩を確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Kiriko,5,5,6,6,6,5,5,6,"[""save_sustain""]","[""神出鬼没"", ""鈴のご加護"", ""狐走り""]","[""神出鬼没後"", ""鈴のご加護後""]","[""鈴のご加護"", ""狐走り""]",,キリコは一度目のキルを防ぐ。ダイレクトに倒し切るより、セントリー・タレットやオーブで防御・救助・移動スキルを使わせてから次の対象へ切り替える。,防御・救助・移動スキル使用後、または回復対象が遮蔽から離れた瞬間,フォトン・バリアはキリコの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。鈴のご加護、狐走りを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Jetpack Cat,8,3,4,5,6,5,3,7,"[""air_pressure""]","[""ワイルド・フライト"", ""キャットナッパー""]","[""キャットナッパー"", ""ワイルド・フライト""]","[""キャットナッパー"", ""ワイルド・フライト""]",,ジェットパック・キャットを空中で追い続けず、低空・着地・味方への接近を狙う。地上の敵にセントリー・タレットで負荷をかけ、空を見る時間を作る。,低空移動、着地、サポートの射線から外れた瞬間,フォトン・バリアはジェットパック・キャットの空中射線を切り、地上の味方が崩れない時間を作る。キャットナッパー、ワイルド・フライトを見てから、空だけでなく地上の射線も分断する。,,,,,,,,,,,,,
Juno,8,3,4,5,6,5,3,7,"[""air_pressure""]","[""グライド・ブースト"", ""オービタル・レイ""]","[""パルサー・トーピード"", ""ハイパーリング"", ""グライド・ブースト""]","[""オービタル・レイ"", ""グライド・ブースト""]",,ジュノを空中で追い続けず、低空・着地・味方への接近を狙う。地上の敵にセントリー・タレットで負荷をかけ、空を見る時間を作る。,低空移動、着地、サポートの射線から外れた瞬間,フォトン・バリアはジュノの空中射線を切り、地上の味方が崩れない時間を作る。オービタル・レイ、グライド・ブーストを見てから、空だけでなく地上の射線も分断する。,,,,,,,,,,,,,
Zenyatta,6,5,5,6,7,5,5,5,"[""long_sightline_threat""]","[""不和のオーブ"", ""心頭滅却""]","[""不和のオーブ""]","[""不和のオーブ"", ""心頭滅却""]",,ゼニヤッタの長い射線には正面から付き合わない。テレポーターで危険な通路を短縮し、遮蔽からチャージ・オーブで圧をかける。,長い射線を構えた瞬間、または遮蔽から顔を出した瞬間,フォトン・バリアはゼニヤッタの長い射線を切り、味方が安全に前へ出るために使う。不和のオーブ、心頭滅却を意識して、ただの自衛ではなく射線分断に使う。,,,,,,,,,,,,,
Baptiste,6,5,6,7,8,5,5,6,"[""long_sightline_threat"", ""save_sustain""]","[""イモータリティ・フィールド"", ""リジェネ・バースト"", ""アンプリフィケーション・マトリックス""]","[""イモータリティ・フィールド後"", ""リジェネ・バースト後""]","[""イモータリティ・フィールド"", ""アンプリフィケーション・マトリックス""]",,バティストの長い射線には正面から付き合わない。テレポーターで危険な通路を短縮し、遮蔽からチャージ・オーブで圧をかける。,長い射線を構えた瞬間、または遮蔽から顔を出した瞬間,フォトン・バリアはバティストの長い射線を切り、味方が安全に前へ出るために使う。イモータリティ・フィールド、アンプリフィケーション・マトリックスを意識して、ただの自衛ではなく射線分断に使う。,,,,,,,,,,,,,
Brigitte,5,8,6,6,6,5,6,6,"[""save_sustain"", ""barrier_ammo_favorable""]","[""バリア・シールド"", ""ラリー""]","[""シールド・バッシュ"", ""ウィップ・ショット"", ""バリア・シールド""]","[""バリア・シールド"", ""ラリー""]","[""バリアを撃ってビームを維持する""]",ブリギッテ相手はバリアやシールドを撃てる時間がビーム維持の好機になる。フォトン・プロジェクターを無理に本体へ当てに行かず、遮蔽を使って安全にビームを育ててから前線へ圧を出す。,防御・救助・移動スキル使用後、または回復対象が遮蔽から離れた瞬間,フォトン・バリアはブリギッテの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。バリア・シールド、ラリーを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Mercy,5,5,6,6,6,5,5,6,"[""save_sustain""]","[""ガーディアン・エンジェル"", ""ヴァルキリー""]","[""ガーディアン・エンジェル""]","[""ヴァルキリー"", ""ガーディアン・エンジェル""]",,マーシーは一度目のキルを防ぐ。ダイレクトに倒し切るより、セントリー・タレットやオーブで防御・救助・移動スキルを使わせてから次の対象へ切り替える。,防御・救助・移動スキル使用後、または回復対象が遮蔽から離れた瞬間,フォトン・バリアはマーシーの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。ヴァルキリー、ガーディアン・エンジェルを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Mizuki,5,5,6,6,6,5,5,6,"[""save_sustain""]","[""霊域結界"", ""形代"", ""癒しの波動""]","[""呪縛"", ""形代"", ""霊域結界""]","[""霊域結界"", ""癒しの波動"", ""形代""]",,ミズキは一度目のキルを防ぐ。ダイレクトに倒し切るより、セントリー・タレットやオーブで防御・救助・移動スキルを使わせてから次の対象へ切り替える。,防御・救助・移動スキル使用後、または回復対象が遮蔽から離れた瞬間,フォトン・バリアはミズキの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。霊域結界、癒しの波動、形代を確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Moira,5,5,5,5,5,5,5,5,"[""standard_matchup""]","[""フェード"", ""コアレッセンス""]","[""バイオティック・オーブ"", ""フェード""]","[""フェード"", ""コアレッセンス""]",,モイラには、ダイブ経路のセントリー・タレット、遮蔽からのチャージ・オーブ、退路のテレポーターを組み合わせて少しずつ有利を作る。,遮蔽から出た瞬間、または重要スキル使用後,フォトン・バリアはモイラの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。フェード、コアレッセンスを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Lifeweaver,5,5,6,6,6,5,5,6,"[""save_sustain""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""若返りの風""]","[""ペタル・プラットフォーム"", ""若返りの風"", ""ライフグリップ""]","[""ライフグリップ"", ""命の樹"", ""ペタル・プラットフォーム""]",,ライフウィーバーは一度目のキルを防ぐ。ダイレクトに倒し切るより、セントリー・タレットやオーブで防御・救助・移動スキルを使わせてから次の対象へ切り替える。,防御・救助・移動スキル使用後、または回復対象が遮蔽から離れた瞬間,フォトン・バリアはライフウィーバーの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。ライフグリップ、命の樹、ペタル・プラットフォームを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Lúcio,5,5,5,5,5,5,5,5,"[""standard_matchup""]","[""ウォール・ライド"", ""サウンド・バリア""]","[""サウンドウェーブ"", ""アンプ・イット・アップ"", ""ウォール・ライド""]","[""サウンド・バリア"", ""ウォール・ライド""]",,ルシオには、ダイブ経路のセントリー・タレット、遮蔽からのチャージ・オーブ、退路のテレポーターを組み合わせて少しずつ有利を作る。,遮蔽から出た瞬間、または重要スキル使用後,フォトン・バリアはルシオの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。サウンド・バリア、ウォール・ライドを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
