hero_id,genji_comp_stats.threat_genji,genji_comp_stats.shuriken_value,genji_comp_stats.deflect_value,genji_comp_stats.swift_strike_value,genji_comp_stats.dragonblade_value,genji_comp_stats.cyber_agility_value,genji_comp_stats.backline_pressure_value,genji_comp_stats.matchup_rating,genji_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.dragonblade_check,key_enemy_skills.route_plan,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.route_note
Symmetra,9,7,3,7,7,5,5,3,10,"[""deflect_low_value_or_beam_danger"", ""turret_trap_reveal_danger"", ""dragonblade_high_value""]","[""テレポーター"", ""フォトン・バリア"", ""セントリー・タレット""]","[""セントリー・タレット処理後"", ""テレポーター確認後""]","[""フォトン・バリア"", ""テレポーター"", ""セントリー・タレット""]","[""木の葉返しを保険にしない"", ""射程外から手裏剣を当てる"", ""風斬り後の退路を先に決める""]",シンメトラ相手は、セントリー・タレットとビームがゲンジの接近を崩す。木の葉返しで解決しようとせず、設置物処理と別射線からの入り直しを優先する。,セントリー・タレット処理後、テレポーター確認後,龍撃剣はシンメトラ本人に固執しない。フォトン・バリア、テレポーターを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。射程外から手裏剣を当てることで、正面の射線を避けながら手裏剣を通す射線を作る。
Junkrat,9,6,8,7,6,5,5,4,10,"[""cc_peel_danger"", ""turret_trap_reveal_danger""]","[""コンカッション・マイン"", ""スティール・トラップ"", ""RIPタイヤ""]","[""コンカッション・マイン後"", ""スティール・トラップ後""]","[""コンカッション・マイン"", ""スティール・トラップ"", ""RIPタイヤ""]","[""迎撃スキルを先に使わせる"", ""風斬りで入る前に手裏剣を当てる"", ""木の葉返し後に深追いしない""]",ジャンクラット相手は、迎撃スキルを残したまま風斬りで入らない。手裏剣で体力差かスキル消費を作り、コンカッション・マインを使わせた後に詰める。,コンカッション・マイン後、スティール・トラップ後,龍撃剣はジャンクラット本人に固執しない。コンカッション・マイン、スティール・トラップを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。風斬りで入る前に手裏剣を当てることで、正面の射線を避けながら手裏剣を通す射線を作る。
Torbjörn,8,7,6,8,7,5,5,5,10,"[""turret_trap_reveal_danger"", ""dragonblade_high_value""]","[""オーバーロード"", ""タレット"", ""モルテン・コア""]","[""タレット処理後"", ""オーバーロード後""]","[""オーバーロード"", ""タレット"", ""モルテン・コア""]","[""遮蔽から手裏剣を当てる"", ""体力差を見て風斬りで詰める"", ""撃破できなければ壁登りで戻る""]",トールビョーン相手は、タレットを残したまま後衛へ入らない。タレットの射線を切るか先に壊し、オーバーロード後に短い接近だけ行う。,タレット処理後、オーバーロード後,龍撃剣はトールビョーン本人に固執しない。オーバーロード、タレットを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。体力差を見て風斬りで詰めることで、正面の射線を避けながら手裏剣を通す射線を作る。
Bastion,7,8,10,8,7,5,5,6,10,"[""long_sightline_danger"", ""dragonblade_high_value""]","[""強襲モード"", ""A-36タクティカル・グレネード"", ""砲台モード""]","[""強襲モード後"", ""A-36タクティカル・グレネード後""]","[""強襲モード"", ""A-36タクティカル・グレネード"", ""砲台モード""]","[""長い射線を正面から渡らない"", ""壁登りで視線外から近づく"", ""照準が外れた瞬間だけ顔を出す""]",バスティオンの長い射線を正面から渡らない。壁登りで高低差を使い、照準が別方向へ向いた瞬間だけ手裏剣から風斬りへつなげる。,強襲モード後、A-36タクティカル・グレネード後,龍撃剣はバスティオン本人に固執しない。強襲モード、A-36タクティカル・グレネードを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで視線外から近づくことで、正面の射線を避けながら手裏剣を通す射線を作る。
Mei,10,7,2,7,6,5,5,3,10,"[""deflect_low_value_or_beam_danger"", ""cc_peel_danger"", ""dragonblade_stop_check""]","[""クリオフリーズ"", ""アイス・ウォール"", ""ブリザード""]","[""クリオフリーズ後"", ""アイス・ウォール後""]","[""アイス・ウォール"", ""クリオフリーズ"", ""ブリザード""]","[""木の葉返しを保険にしない"", ""射程外から手裏剣を当てる"", ""風斬り後の退路を先に決める""]",メイ相手は、木の葉返しで返せない攻撃を受ける距離に居続けない。手裏剣で反応を見て、クリオフリーズ後だけ風斬りの圧をかける。,クリオフリーズ後、アイス・ウォール後,龍撃剣はメイ本人に固執しない。アイス・ウォール、クリオフリーズを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。射程外から手裏剣を当てることで、正面の射線を避けながら手裏剣を通す射線を作る。
Illari,5,8,7,8,9,6,9,6,10,"[""backline_target"", ""support_pick_window"", ""shuriken_poke_and_dash_value"", ""long_sightline_danger"", ""turret_trap_reveal_danger"", ""dragonblade_high_value""]","[""アウトバースト"", ""ヒーリング・パイロン"", ""キャプティブ・サン""]","[""アウトバースト後"", ""ヒーリング・パイロン後""]","[""ヒーリング・パイロン"", ""アウトバースト"", ""キャプティブ・サン""]","[""壁登りで側面ルートの高低差を使う"", ""手裏剣で防御・救助・移動スキルを誘う"", ""風斬りは撃破確認後の追撃か離脱に残す""]",イラリーには壁登りと二段ジャンプで視線外から近づく。手裏剣で防御・救助・移動スキルを使わせ、風斬りは撃破確認後の追撃か離脱に使う。,アウトバースト後、ヒーリング・パイロン後,龍撃剣はイラリー本人に固執しない。ヒーリング・パイロン、アウトバーストを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。手裏剣で防御・救助・移動スキルを誘うことで、正面の射線を避けながら手裏剣を通す射線を作る。
Jetpack Cat,5,6,6,6,7,8,7,6,10,"[""backline_target"", ""support_pick_window"", ""vertical_route_required"", ""mobility_duel_or_chase"", ""dragonblade_high_value""]","[""ワイルド・フライト"", ""ゴロゴロ"", ""キャットナッパー""]","[""ワイルド・フライト後"", ""ゴロゴロ後""]","[""ゴロゴロ"", ""ワイルド・フライト"", ""キャットナッパー""]","[""壁登りで側面ルートの高低差を使う"", ""手裏剣で防御・救助・移動スキルを誘う"", ""風斬りは撃破確認後の追撃か離脱に残す""]",ジェットパック・キャットには壁登りと二段ジャンプで視線外から近づく。手裏剣で防御・救助・移動スキルを使わせ、風斬りは撃破確認後の追撃か離脱に使う。,ワイルド・フライト後、ゴロゴロ後,龍撃剣はジェットパック・キャット本人に固執しない。ゴロゴロ、ワイルド・フライトを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。手裏剣で防御・救助・移動スキルを誘うことで、正面の射線を避けながら手裏剣を通す射線を作る。
Juno,5,6,5,6,7,8,7,6,10,"[""backline_target"", ""support_pick_window"", ""vertical_route_required"", ""mobility_duel_or_chase"", ""dragonblade_high_value""]","[""グライド・ブースト"", ""ハイパーリング"", ""オービタル・レイ""]","[""グライド・ブースト後"", ""ハイパーリング後""]","[""ハイパーリング"", ""オービタル・レイ"", ""グライド・ブースト""]","[""壁登りで側面ルートの高低差を使う"", ""手裏剣で防御・救助・移動スキルを誘う"", ""風斬りは撃破確認後の追撃か離脱に残す""]",ジュノには壁登りと二段ジャンプで視線外から近づく。手裏剣で防御・救助・移動スキルを使わせ、風斬りは撃破確認後の追撃か離脱に使う。,グライド・ブースト後、ハイパーリング後,龍撃剣はジュノ本人に固執しない。ハイパーリング、オービタル・レイを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。手裏剣で防御・救助・移動スキルを誘うことで、正面の射線を避けながら手裏剣を通す射線を作る。
Baptiste,6,8,6,8,8,7,9,7,10,"[""backline_target"", ""support_pick_window"", ""shuriken_poke_and_dash_value"", ""long_sightline_danger"", ""dragonblade_stop_check"", ""dragonblade_high_value""]","[""イモータリティ・フィールド"", ""リジェネ・バースト"", ""アンプリフィケーション・マトリックス""]","[""イモータリティ・フィールド後"", ""リジェネ・バースト後""]","[""イモータリティ・フィールド"", ""リジェネ・バースト"", ""エグゾブーツ""]","[""壁登りで側面ルートの高低差を使う"", ""手裏剣で防御・救助・移動スキルを誘う"", ""風斬りは撃破確認後の追撃か離脱に残す""]",バティストには壁登りと二段ジャンプで視線外から近づく。手裏剣で防御・救助・移動スキルを使わせ、風斬りは撃破確認後の追撃か離脱に使う。,イモータリティ・フィールド後、リジェネ・バースト後,龍撃剣はバティスト本人に固執しない。イモータリティ・フィールド、リジェネ・バーストを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。手裏剣で防御・救助・移動スキルを誘うことで、正面の射線を避けながら手裏剣を通す射線を作る。
Mercy,7,7,5,7,8,7,8,7,10,"[""backline_target"", ""support_pick_window"", ""shuriken_poke_and_dash_value"", ""vertical_route_required"", ""mobility_duel_or_chase"", ""dragonblade_high_value""]","[""ガーディアン・エンジェル"", ""蘇生"", ""ヴァルキリー""]","[""ガーディアン・エンジェル後"", ""蘇生後""]","[""蘇生"", ""ガーディアン・エンジェル"", ""ヴァルキリー""]","[""壁登りで側面ルートの高低差を使う"", ""手裏剣で防御・救助・移動スキルを誘う"", ""風斬りは撃破確認後の追撃か離脱に残す""]",マーシーには壁登りと二段ジャンプで視線外から近づく。手裏剣で防御・救助・移動スキルを使わせ、風斬りは撃破確認後の追撃か離脱に使う。,ガーディアン・エンジェル後、蘇生後,龍撃剣はマーシー本人に固執しない。蘇生、ガーディアン・エンジェルを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。手裏剣で防御・救助・移動スキルを誘うことで、正面の射線を避けながら手裏剣を通す射線を作る。
Lifeweaver,8,8,5,8,8,6,8,7,10,"[""backline_target"", ""support_pick_window"", ""shuriken_poke_and_dash_value"", ""dragonblade_stop_check"", ""dragonblade_high_value""]","[""ペタル・プラットフォーム"", ""若返りの風"", ""ライフグリップ""]","[""ペタル・プラットフォーム後"", ""若返りの風後""]","[""ライフグリップ"", ""ペタル・プラットフォーム""]","[""壁登りで側面ルートの高低差を使う"", ""手裏剣で防御・救助・移動スキルを誘う"", ""風斬りは撃破確認後の追撃か離脱に残す""]",ライフウィーバーには壁登りと二段ジャンプで視線外から近づく。手裏剣で防御・救助・移動スキルを使わせ、風斬りは撃破確認後の追撃か離脱に使う。,ペタル・プラットフォーム後、若返りの風後,龍撃剣はライフウィーバー本人に固執しない。ライフグリップ、ペタル・プラットフォームを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。手裏剣で防御・救助・移動スキルを誘うことで、正面の射線を避けながら手裏剣を通す射線を作る。
Kiriko,8,6,6,6,6,6,6,6,10,"[""backline_target"", ""support_pick_window"", ""mobility_duel_or_chase"", ""dragonblade_stop_check""]","[""神出鬼没"", ""鈴のご加護"", ""狐走り""]","[""神出鬼没後"", ""鈴のご加護後""]","[""鈴のご加護"", ""神出鬼没"", ""狐走り""]","[""壁登りで側面ルートの高低差を使う"", ""手裏剣で防御・救助・移動スキルを誘う"", ""風斬りは撃破確認後の追撃か離脱に残す""]",キリコには壁登りと二段ジャンプで視線外から近づく。手裏剣で防御・救助・移動スキルを使わせ、風斬りは撃破確認後の追撃か離脱に使う。,神出鬼没後、鈴のご加護後,龍撃剣はキリコ本人に固執しない。鈴のご加護、神出鬼没を確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。手裏剣で防御・救助・移動スキルを誘うことで、正面の射線を避けながら手裏剣を通す射線を作る。
Brigitte,10,7,5,7,8,5,6,4,10,"[""backline_target"", ""support_pick_window"", ""cc_peel_danger"", ""dragonblade_stop_check"", ""dragonblade_high_value""]","[""バリア・シールド"", ""ラリー"", ""リペア・パック""]","[""シールド・バッシュ後"", ""ウィップ・ショット後""]","[""リペア・パック"", ""ラリー"", ""バリア・シールド""]","[""壁登りで側面ルートの高低差を使う"", ""手裏剣で防御・救助・移動スキルを誘う"", ""風斬りは撃破確認後の追撃か離脱に残す""]",ブリギッテ相手は、正面から龍撃剣を振るとシールド・バッシュやウィップ・ショットで止まる。味方の圧に合わせ、防御・救助・移動スキルを見てから後衛へ入る。,シールド・バッシュ後、ウィップ・ショット後,龍撃剣はブリギッテ本人に固執しない。リペア・パック、ラリーを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。手裏剣で防御・救助・移動スキルを誘うことで、正面の射線を避けながら手裏剣を通す射線を作る。
Moira,6,6,2,6,8,5,6,4,10,"[""backline_target"", ""support_pick_window"", ""deflect_low_value_or_beam_danger"", ""dragonblade_high_value""]","[""フェード"", ""バイオティック・オーブ"", ""コアレッセンス""]","[""フェード後"", ""バイオティック・オーブ後""]","[""フェード"", ""バイオティック・オーブ"", ""コアレッセンス""]","[""壁登りで側面ルートの高低差を使う"", ""手裏剣で防御・救助・移動スキルを誘う"", ""風斬りは撃破確認後の追撃か離脱に残す""]",モイラ相手は、バイオティック・グラスプとフェードで長い追跡戦になりやすい。フェード後だけ狙い、倒し切れない時はすぐ別対象へ切り替える。,フェード後、バイオティック・オーブ後,龍撃剣はモイラ本人に固執しない。フェード、バイオティック・オーブを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。手裏剣で防御・救助・移動スキルを誘うことで、正面の射線を避けながら手裏剣を通す射線を作る。
Lúcio,7,5,5,6,6,6,7,6,10,"[""backline_target"", ""support_pick_window"", ""mobility_duel_or_chase"", ""dragonblade_stop_check""]","[""ウォール・ライド"", ""サウンド・バリア"", ""サウンドウェーブ""]","[""ウォール・ライド後"", ""サウンド・バリア後""]","[""サウンド・バリア"", ""サウンドウェーブ"", ""スピード・ブースト""]","[""壁登りで側面ルートの高低差を使う"", ""手裏剣で防御・救助・移動スキルを誘う"", ""風斬りは撃破確認後の追撃か離脱に残す""]",ルシオには壁登りと二段ジャンプで視線外から近づく。手裏剣で防御・救助・移動スキルを使わせ、風斬りは撃破確認後の追撃か離脱に使う。,ウォール・ライド後、サウンド・バリア後,龍撃剣はルシオ本人に固執しない。サウンド・バリア、サウンドウェーブを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。手裏剣で防御・救助・移動スキルを誘うことで、正面の射線を避けながら手裏剣を通す射線を作る。
Ana,7,9,8,10,9,7,9,6,10,"[""backline_target"", ""support_pick_window"", ""shuriken_poke_and_dash_value"", ""long_sightline_danger"", ""cc_peel_danger"", ""dragonblade_stop_check"", ""dragonblade_high_value""]","[""スリープ・ダーツ"", ""バイオティック・グレネード"", ""ナノ・ブースト""]","[""スリープ・ダーツ後"", ""バイオティック・グレネード後""]","[""スリープ・ダーツ"", ""バイオティック・グレネード"", ""ナノ・ブースト""]","[""壁登りで側面ルートの高低差を使う"", ""手裏剣で防御・救助・移動スキルを誘う"", ""風斬りは撃破確認後の追撃か離脱に残す""]",アナ相手は、スリープ・ダーツとバイオティック・グレネードの確認が最優先。木の葉返しで返せる場面はあるが、外した時の退路を残して入る。,スリープ・ダーツ後、バイオティック・グレネード後,龍撃剣はアナ本人に固執しない。スリープ・ダーツ、バイオティック・グレネードを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。手裏剣で防御・救助・移動スキルを誘うことで、正面の射線を避けながら手裏剣を通す射線を作る。
Wuyang,5,8,6,8,8,5,8,7,10,"[""backline_target"", ""support_pick_window"", ""shuriken_poke_and_dash_value"", ""dragonblade_high_value""]","[""飛流歩"", ""養神泉"", ""驚濤破""]","[""飛流歩後"", ""養神泉後""]","[""養神泉"", ""驚濤破"", ""飛流歩""]","[""壁登りで側面ルートの高低差を使う"", ""手裏剣で防御・救助・移動スキルを誘う"", ""風斬りは撃破確認後の追撃か離脱に残す""]",ウーヤンには壁登りと二段ジャンプで視線外から近づく。手裏剣で防御・救助・移動スキルを使わせ、風斬りは撃破確認後の追撃か離脱に使う。,飛流歩後、養神泉後,龍撃剣はウーヤン本人に固執しない。養神泉、驚濤破を確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。手裏剣で防御・救助・移動スキルを誘うことで、正面の射線を避けながら手裏剣を通す射線を作る。
Zenyatta,6,9,9,10,9,7,9,7,10,"[""backline_target"", ""support_pick_window"", ""shuriken_poke_and_dash_value"", ""long_sightline_danger"", ""dragonblade_stop_check"", ""dragonblade_high_value""]","[""心頭滅却"", ""不和のオーブ""]","[""心頭滅却後"", ""不和のオーブ後""]","[""心頭滅却"", ""不和のオーブ""]","[""壁登りで側面ルートの高低差を使う"", ""手裏剣で防御・救助・移動スキルを誘う"", ""風斬りは撃破確認後の追撃か離脱に残す""]",ゼニヤッタ相手は、最も狙いやすい後衛の一人。ただし不和のオーブを受けたまま追い切らず、遮蔽で外してから風斬りのリセットを狙う。,心頭滅却後、不和のオーブ後,龍撃剣はゼニヤッタ本人に固執しない。心頭滅却、不和のオーブを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。手裏剣で防御・救助・移動スキルを誘うことで、正面の射線を避けながら手裏剣を通す射線を作る。
Mizuki,6,8,6,8,8,5,8,7,10,"[""backline_target"", ""support_pick_window"", ""shuriken_poke_and_dash_value"", ""dragonblade_high_value""]","[""形代"", ""霊域結界"", ""快気の笠""]","[""形代後"", ""霊域結界後""]","[""霊域結界"", ""快気の笠"", ""形代""]","[""壁登りで側面ルートの高低差を使う"", ""手裏剣で防御・救助・移動スキルを誘う"", ""風斬りは撃破確認後の追撃か離脱に残す""]",ミズキには壁登りと二段ジャンプで視線外から近づく。手裏剣で防御・救助・移動スキルを使わせ、風斬りは撃破確認後の追撃か離脱に使う。,形代後、霊域結界後,龍撃剣はミズキ本人に固執しない。霊域結界、快気の笠を確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。手裏剣で防御・救助・移動スキルを誘うことで、正面の射線を避けながら手裏剣を通す射線を作る。
