hero_id,hero_ja,role,sub_role,torbjorn_comp_stats.threat_torbjorn,torbjorn_comp_stats.turret_value,torbjorn_comp_stats.overload_value,torbjorn_comp_stats.molten_core_value,torbjorn_comp_stats.rivet_primary_value,torbjorn_comp_stats.rivet_secondary_value,torbjorn_comp_stats.forge_hammer_repair_value,torbjorn_comp_stats.matchup_rating,torbjorn_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.molten_core_check,key_enemy_skills.turret_plan,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.sombra_hack_note
Mercy,マーシー,サポート,メディック,6,10,7,7,3,5,7,8,8,"[""air_or_highground_pressure"", ""setup_or_utility"", ""turret_high_value""]","[""ガーディアン・エンジェル"", ""ヴァルキリー""]","[""ガーディアン・エンジェル後""]","[""ガーディアン・エンジェル"", ""ヴァルキリー""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",マーシーは遠くや空中にいる間だけを追わず、低空・着地・味方へ近づいた瞬間をタレットとリベット・ガンで削る。,ガーディアン・エンジェル後,モルテン・コアはマーシーを空中で倒すためではなく、着地地点や味方が使う通路を守るために置く。,
Lifeweaver,ライフウィーバー,サポート,メディック,6,6,7,9,5,5,7,7,7,"[""setup_or_utility"", ""molten_core_high_value""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""若返りの風""]","[""ペタル・プラットフォーム後"", ""若返りの風後""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""若返りの風""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ライフウィーバーにはタレットで移動先を制限し、リベット・ガンで遮蔽から1発ずつ撃つ。無理に深追いせず、回復先を変えさせる。,ペタル・プラットフォーム後、若返りの風後,モルテン・コアはライフウィーバーを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Kiriko,キリコ,サポート,メディック,9,9,9,7,4,6,6,5,8,"[""setup_or_utility"", ""turret_high_value"", ""overload_duel_value""]","[""鈴のご加護"", ""神出鬼没"", ""狐走り""]","[""神出鬼没後"", ""鈴のご加護後""]","[""鈴のご加護"", ""神出鬼没"", ""狐走り""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",キリコにはタレットで移動先を制限し、リベット・ガンで遮蔽から1発ずつ撃つ。無理に深追いせず、回復先を変えさせる。,神出鬼没後、鈴のご加護後,モルテン・コアはキリコを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Brigitte,ブリギッテ,サポート,サバイバー,6,5,7,8,4,7,6,7,6,"[""setup_or_utility"", ""molten_core_high_value""]","[""バリア・シールド"", ""ラリー""]","[""シールド・バッシュ後"", ""ウィップ・ショット後""]","[""バリア・シールド"", ""ラリー""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ブリギッテにはタレットで移動先を制限し、リベット・ガンで遮蔽から1発ずつ撃つ。無理に深追いせず、回復先を変えさせる。,シールド・バッシュ後、ウィップ・ショット後,モルテン・コアはブリギッテを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Moira,モイラ,サポート,メディック,7,8,8,7,3,6,6,6,7,"[""turret_high_value"", ""overload_duel_value""]","[""フェード"", ""コアレッセンス""]","[""フェード後"", ""バイオティック・オーブ後""]","[""フェード"", ""コアレッセンス""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",モイラにはタレットで移動先を制限し、リベット・ガンで遮蔽から1発ずつ撃つ。無理に深追いせず、回復先を変えさせる。,フェード後、バイオティック・オーブ後,モルテン・コアはモイラを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Lúcio,ルシオ,サポート,タクティシャン,8,10,8,7,3,6,6,6,8,"[""setup_or_utility"", ""turret_high_value"", ""overload_duel_value""]","[""ウォール・ライド"", ""サウンド・バリア""]","[""ウォール・ライド後"", ""サウンドウェーブ後""]","[""ウォール・ライド"", ""サウンド・バリア""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ルシオにはタレットで移動先を制限し、リベット・ガンで遮蔽から1発ずつ撃つ。無理に深追いせず、回復先を変えさせる。,ウォール・ライド後、サウンドウェーブ後,モルテン・コアはルシオを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Ana,アナ,サポート,タクティシャン,7,4,6,7,7,5,6,5,6,"[""long_range_threat"", ""setup_or_utility""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]","[""スリープ・ダーツ後"", ""バイオティック・グレネード後""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",アナが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻り、タレットは別の射線を作る。,スリープ・ダーツ後、バイオティック・グレネード後,モルテン・コアはアナを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Wuyang,ウーヤン,サポート,サバイバー,7,7,8,9,5,6,6,6,8,"[""setup_or_utility"", ""molten_core_high_value"", ""overload_duel_value""]","[""飛流歩"", ""守衛波浪""]","[""飛流歩後"", ""玄武之杖後""]","[""飛流歩"", ""守衛波浪""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ウーヤンにはタレットで移動先を制限し、リベット・ガンで遮蔽から1発ずつ撃つ。無理に深追いせず、回復先を変えさせる。,飛流歩後、玄武之杖後,モルテン・コアはウーヤンを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Zenyatta,ゼニヤッタ,サポート,タクティシャン,7,4,7,7,7,5,5,6,6,"[""long_range_threat"", ""setup_or_utility""]","[""不和のオーブ"", ""心頭滅却""]","[""不和のオーブ後""]","[""不和のオーブ"", ""心頭滅却""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ゼニヤッタが遠距離から撃てる位置にいる時は、正面で長く撃ち合わない。遮蔽から1発撃って戻り、タレットは別の射線を作る。,不和のオーブ後,モルテン・コアはゼニヤッタを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Mizuki,ミズキ,サポート,サバイバー,8,7,8,8,5,6,6,5,8,"[""setup_or_utility"", ""molten_core_high_value"", ""overload_duel_value""]","[""霊域結界"", ""形代"", ""癒しの波動""]","[""形代後"", ""呪縛後""]","[""霊域結界"", ""形代"", ""癒しの波動""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ミズキにはタレットで移動先を制限し、リベット・ガンで遮蔽から1発ずつ撃つ。無理に深追いせず、回復先を変えさせる。,形代後、呪縛後,モルテン・コアはミズキを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
