hero_id,reaper_comp_stats.threat_reaper,reaper_comp_stats.close_range_value,reaper_comp_stats.wraith_form_value,reaper_comp_stats.shadow_step_value,reaper_comp_stats.death_blossom_denial,reaper_comp_stats.frontline_pressure_value,reaper_comp_stats.matchup_rating,reaper_comp_stats.priority_score,reaper_comp_stats.self_heal_duel_value,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.death_blossom_check,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.sombra_hack_note,diagnosis_snippets.cross_target_note,diagnosis_snippets.self_heal_policy,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,cross_target_recalibration,torbjorn_reassessment_note,reaper_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.diff_points
Ana,7,5,7,7,9,6,5,7,4,"[""save_skill_check""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]","[""スリープ・ダーツ"", ""バイオティック・グレネード""]","[""スリープ・ダーツ"", ""ナノ・ブースト""]",アナは単独で追いすぎず、救助や移動スキルを使った直後に詰める。シャドウ・ステップは見える場所への先入りではなく、逃げ道を残せる遮蔽位置取りに使う。,スリープ・ダーツ、バイオティック・グレネードの後,デス・ブロッサムはアナのスリープ・ダーツ、ナノ・ブーストを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Illari,5,5,5,7,4,5,6,5,5,[],"[""アウトバースト"", ""キャプティブ・サン""]","[""アウトバースト""]","[""キャプティブ・サン"", ""アウトバースト""]",イラリーは単独で追いすぎず、救助や移動スキルを使った直後に詰める。シャドウ・ステップは見える場所への先入りではなく、逃げ道を残せる遮蔽位置取りに使う。,アウトバーストの後,デス・ブロッサムはイラリーのキャプティブ・サン、アウトバーストを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Wuyang,5,5,5,7,6,6,6,6,5,"[""save_skill_check""]","[""飛流歩"", ""守衛波浪""]","[""玄武之杖"", ""驚濤破"", ""飛流歩""]","[""守衛波浪"", ""飛流歩""]",ウーヤンは単独で追いすぎず、救助や移動スキルを使った直後に詰める。シャドウ・ステップは見える場所への先入りではなく、逃げ道を残せる遮蔽位置取りに使う。,玄武之杖、驚濤破、飛流歩の後,デス・ブロッサムはウーヤンの守衛波浪、飛流歩を確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Kiriko,6,4,6,6,9,6,6,6,5,"[""save_skill_check""]","[""鈴のご加護"", ""神出鬼没"", ""狐走り""]","[""神出鬼没"", ""鈴のご加護""]","[""鈴のご加護"", ""狐走り"", ""神出鬼没""]",キリコは単独で追いすぎず、救助や移動スキルを使った直後に詰める。シャドウ・ステップは見える場所への先入りではなく、逃げ道を残せる遮蔽位置取りに使う。,神出鬼没、鈴のご加護の後,デス・ブロッサムはキリコの鈴のご加護、狐走り、神出鬼没を確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Jetpack Cat,8,2,5,6,4,6,4,5,5,"[""mobility_threat"", ""air_control_limited""]","[""ワイルド・フライト"", ""キャットナッパー""]","[""キャットナッパー"", ""ワイルド・フライト""]","[""キャットナッパー""]",ジェットパック・キャットを空中で長く追わない。味方が着地や低空を作った瞬間だけ撃ち、普段は敵タンクや地上サポートを近距離で削って圧を作る。,キャットナッパー、ワイルド・フライトの後,デス・ブロッサムはジェットパック・キャットのキャットナッパー、ワイルド・フライトを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Juno,8,2,5,6,6,6,4,6,5,"[""mobility_threat"", ""air_control_limited"", ""save_skill_check""]","[""グライド・ブースト"", ""オービタル・レイ""]","[""パルサー・トーピード"", ""ハイパーリング"", ""グライド・ブースト""]","[""オービタル・レイ"", ""グライド・ブースト""]",ジュノを空中で長く追わない。味方が着地や低空を作った瞬間だけ撃ち、普段は敵タンクや地上サポートを近距離で削って圧を作る。,パルサー・トーピード、ハイパーリング、グライド・ブーストの後,デス・ブロッサムはジュノのオービタル・レイ、グライド・ブーストを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Zenyatta,5,5,6,7,6,5,6,6,4,"[""save_skill_check""]","[""不和のオーブ"", ""心頭滅却""]","[""不和のオーブ""]","[""不和のオーブ"", ""心頭滅却""]",ゼニヤッタは単独で追いすぎず、救助や移動スキルを使った直後に詰める。シャドウ・ステップは見える場所への先入りではなく、逃げ道を残せる遮蔽位置取りに使う。,不和のオーブの後,デス・ブロッサムはゼニヤッタの不和のオーブ、心頭滅却を確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Baptiste,5,5,5,8,9,6,6,6,4,"[""save_skill_check""]","[""イモータリティ・フィールド"", """", ""アンプリフィケーション・マトリックス""]","["""", ""イモータリティ・フィールド""]","[""イモータリティ・フィールド"", """"]",バティストは単独で追いすぎず、救助や移動スキルを使った直後に詰める。シャドウ・ステップは見える場所への先入りではなく、逃げ道を残せる遮蔽位置取りに使う。,イモータリティ・フィールドの後,デス・ブロッサムはバティストのイモータリティ・フィールドを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Brigitte,7,7,7,7,7,7,6,6,6,"[""self_heal_favorable""]","[""バリア・シールド"", ""ラリー""]","[""シールド・バッシュ"", ""ウィップ・ショット"", ""バリア・シールド""]","[""バリア・シールド"", ""ラリー""]",ブリギッテは単独で追いすぎず、相手の継続火力が低い場面だけ近距離を長めに戦う。ヘルファイア・ショットガンの回復を見込みつつ、逃げ道は残す。,シールド・バッシュ、ウィップ・ショット、バリア・シールドの後,デス・ブロッサムはブリギッテのバリア・シールド、ラリーを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Mercy,8,8,5,6,7,8,7,6,7,"[""mobility_threat"", ""air_control_limited"", ""save_skill_check"", ""self_heal_favorable""]","[""ガーディアン・エンジェル"", ""ヴァルキリー""]","[""ガーディアン・エンジェル""]","[""ヴァルキリー"", ""ガーディアン・エンジェル""]",マーシーは単独で追いすぎず、相手の継続火力が低い場面だけ近距離を長めに戦う。ヘルファイア・ショットガンの回復を見込みつつ、逃げ道は残す。,ガーディアン・エンジェルの後,デス・ブロッサムはマーシーのヴァルキリー、ガーディアン・エンジェルを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Mizuki,5,5,5,7,7,6,6,6,5,"[""save_skill_check""]","[""霊域結界"", ""形代"", ""癒しの波動""]","[""呪縛"", ""形代"", ""霊域結界""]","[""霊域結界"", ""癒しの波動"", ""形代""]",ミズキは単独で追いすぎず、救助や移動スキルを使った直後に詰める。シャドウ・ステップは見える場所への先入りではなく、逃げ道を残せる遮蔽位置取りに使う。,呪縛、形代、霊域結界の後,デス・ブロッサムはミズキの霊域結界、癒しの波動、形代を確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Moira,5,7,5,7,4,7,6,5,6,"[""self_heal_favorable""]","[""フェード"", ""コアレッセンス""]","[""バイオティック・オーブ"", ""フェード""]","[""フェード"", ""コアレッセンス""]",モイラは単独で追いすぎず、相手の継続火力が低い場面だけ近距離を長めに戦う。ヘルファイア・ショットガンの回復を見込みつつ、逃げ道は残す。,バイオティック・オーブ、フェードの後,デス・ブロッサムはモイラのフェード、コアレッセンスを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Lifeweaver,5,8,5,7,9,8,7,6,7,"[""save_skill_check"", ""self_heal_favorable""]","[""ライフグリップ"", ""ペタル・プラットフォーム"", ""若返りの風""]","[""ペタル・プラットフォーム"", ""若返りの風"", ""ライフグリップ""]","[""ライフグリップ"", ""命の樹"", ""ペタル・プラットフォーム""]",ライフウィーバーは単独で追いすぎず、相手の継続火力が低い場面だけ近距離を長めに戦う。ヘルファイア・ショットガンの回復を見込みつつ、逃げ道は残す。,ペタル・プラットフォーム、若返りの風、ライフグリップの後,デス・ブロッサムはライフウィーバーのライフグリップ、命の樹、ペタル・プラットフォームを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
Lúcio,6,7,5,5,9,7,6,6,6,"[""mobility_threat"", ""save_skill_check"", ""self_heal_favorable""]","[""ウォール・ライド"", ""サウンド・バリア""]","[""サウンドウェーブ"", ""アンプ・イット・アップ"", ""ウォール・ライド""]","[""サウンド・バリア"", ""ウォール・ライド""]",ルシオは単独で追いすぎず、相手の継続火力が低い場面だけ近距離を長めに戦う。ヘルファイア・ショットガンの回復を見込みつつ、逃げ道は残す。,サウンドウェーブ、アンプ・イット・アップ、ウォール・ライドの後,デス・ブロッサムはルシオのサウンド・バリア、ウォール・ライドを確認してから使う。キル目的だけでなく、敵を遮蔽から下げる制圧にも使う。,,,,,,,,,,,,,
